full_name,pred
240931 (2006 FQ29),83.96683955996149
65705 (1992 GH3),152.18817039049523
45799 (2000 PZ18),83.96683955996149
27330 Markporter (2000 CY52),83.96683955996149
43290 (2000 FV48),176.48137310075097
153373 (2001 QR14),93.37986222663464
(2010 CR222),83.96683955996149
(2010 EQ82),190.0079555697815
22109 Loriehutch (2000 PJ22),106.14467866809791
27294 (2000 AT142),93.95813090675676
250665 (2005 NZ32),171.13861369908722
207349 (2005 JE54),179.3727443999091
365429 (2010 LF32),179.3395308166477
94033 (2000 XS41),146.59388976837218
116321 (2003 YB70),179.3727443999091
42754 (1998 SN60),176.28469802273483
422805 (2001 YY12),83.96683955996149
347082 (2010 GV39),85.95746791450985
76155 (2000 EX20),152.18817039049523
191758 (2004 TV1),83.96683955996149
371731 (2007 EN127),182.83741975044126
468115 (2013 YN54),176.28469802273483
12098 (1998 HV122),196.47224234159765
286832 (2002 NU11),83.96683955996149
15871 (1996 QX1),146.59388976837218
251971 (2000 AN150),146.59388976837218
146629 (2001 UX19),146.59388976837218
332219 (2006 GJ44),173.99677141498398
67749 (2000 UZ46),76.80249269586115
135383 (2001 TZ165),146.59388976837218
248514 (2005 VV76),85.95746791450985
377247 (2004 BY108),140.99342019100925
15992 Cynthia (1998 YL4),93.95813090675676
(2010 PP48),85.95746791450985
78727 (2002 TN231),174.25517069727377
319035 (2005 VB52),139.42335394903196
(2010 GH76),83.96683955996149
145022 (2005 EC259),83.96683955996149
63895 (2001 SZ5),196.28212970322824
288526 (2004 FE165),74.55706174127369
231728 (1999 EE7),83.96683955996149
54856 (2001 OF21),182.83741975044126
34748 (2001 QN93),187.0647845248504
264168 (2010 CW19),76.80249269586115
21867 (1999 TQ251),69.18504162608279
57367 (2001 RM43),83.96683955996149
164150 (2003 YF119),190.0079555697815
96639 (1999 GJ9),76.80249269586115
52762 (1998 MT24),0.8465160479826969
343315 (2010 BK61),179.3727443999091
126645 (2002 CA178),83.96683955996149
39874 (1998 DC35),83.96683955996149
(2010 LF38),83.96683955996149
200491 (2000 YA64),83.96683955996149
438813 (2008 YC142),74.55706174127369
198824 (2005 EV265),176.28469802273483
68065 (2000 YG68),90.10638569028035
31820 (1999 RT186),504.78066764403326
56235 (1999 JX43),114.14534166034484
87694 (2000 SX13),91.9675025522084
289269 (2004 XL142),173.99677141498398
232825 (2004 SE40),146.59388976837218
76210 (2000 ET61),152.18817039049523
104978 (2000 JZ65),152.18817039049523
426007 (2011 KZ6),190.0079555697815
58460 Le Mouelic (1996 LM1),85.95746791450985
248132 (2004 SJ36),146.59388976837218
7863 Turnbull (1981 VK),178.64810732644844
382892 (2004 PN85),83.96683955996149
71573 (2000 DO43),190.68784908110518
482811 (2013 WR57),174.25517069727377
516817 (2010 OW84),76.80249269586115
(2010 CK160),179.3395308166477
281046 (2006 HF90),182.83741975044126
